Description (Do not copy to CHIRP),Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
W2LI-4 AX.25 Packet BBS,W2LI-4,145.050,0.000000,,,,,,,,,FM,,,,,,,,
N2NOV-4 AX.25 Packet BBS,N2NOV-4,145.77,0.000000,,,,,,,,,FM,,,,,,,,
